Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
145      5.49222566e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.86494936e-09    4.16700424e-09
146      5.49662019e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.86741339e-09    4.16825125e-09
147      5.50101472e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.86986148e-09    4.16948816e-09
148      5.50540926e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.87229370e-09    4.17071509e-09
149      5.50980379e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.87471016e-09    4.17193212e-09
150      5.51419832e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.87711093e-09    4.17313938e-09
151      5.51859285e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.87949611e-09    4.17433697e-09
152      5.52298738e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.88186578e-09    4.17552498e-09
153      5.52738191e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.88422003e-09    4.17670353e-09
154      5.53177644e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.88655896e-09    4.17787270e-09
155      5.53617097e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.88888264e-09    4.17903260e-09
156      5.54056551e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.89119116e-09    4.18018333e-09
157      5.54496004e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.89348461e-09    4.18132497e-09
158      5.54935457e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.89576307e-09    4.18245764e-09
159      5.55374910e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.89802663e-09    4.18358141e-09
160      5.55814363e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.90027538e-09    4.18469639e-09
161      5.56253816e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.90250940e-09    4.18580265e-09
162      5.56693269e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.90472878e-09    4.18690030e-09
163      5.57132722e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.90693359e-09    4.18798943e-09
164      5.57572176e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.90912393e-09    4.18907010e-09
165      5.58011629e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.91129987e-09    4.19014242e-09
166      5.58451082e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.91346150e-09    4.19120647e-09
167      5.58890535e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.91560891e-09    4.19226234e-09
168      5.59329988e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.91774216e-09    4.19331010e-09
169      5.59769441e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.91986136e-09    4.19434983e-09
170      5.60208894e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.92196658e-09    4.19538162e-09
171      5.60648347e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.92405789e-09    4.19640555e-09
172      5.61087801e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.92613538e-09    4.19742169e-09
173      5.61527254e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.92819914e-09    4.19843012e-09
174      5.61966707e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.93024924e-09    4.19943092e-09
175      5.62406160e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.93228576e-09    4.20042416e-09
176      5.62845613e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.93430878e-09    4.20140991e-09
177      5.63285066e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.93631838e-09    4.20238826e-09
178      5.63724519e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.93831464e-09    4.20335926e-09
179      5.64163972e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.94029763e-09    4.20432300e-09
180      5.64603426e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.94226744e-09    4.20527954e-09
181      5.65042879e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.94422414e-09    4.20622894e-09
182      5.65482332e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.94616782e-09    4.20717129e-09
183      5.65921785e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.94809853e-09    4.20810664e-09
184      5.66361238e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.95001638e-09    4.20903507e-09
185      5.66800691e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.95192141e-09    4.20995663e-09
186      5.67240144e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.95381373e-09    4.21087139e-09
187      5.67679597e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.95569339e-09    4.21177942e-09
188      5.68119051e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.95756048e-09    4.21268077e-09
189      5.68558504e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.95941507e-09    4.21357551e-09
190      5.68997957e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.96125723e-09    4.21446371e-09
