TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
5.65921785e-11,5.65921785e-11,-6.31058739e-04,7.57270487e-04
5.66361238e-11,5.66361238e-11,-6.29047210e-04,7.54856652e-04
5.66800691e-11,5.66800691e-11,-6.27043725e-04,7.52452469e-04
5.67240144e-11,5.67240144e-11,-6.25048219e-04,7.50057863e-04
5.67679597e-11,5.67679597e-11,-6.23060631e-04,7.47672757e-04
5.68119051e-11,5.68119051e-11,-6.21080899e-04,7.45297079e-04
5.68558504e-11,5.68558504e-11,-6.19108963e-04,7.42930756e-04
5.68997957e-11,5.68997957e-11,-6.17144765e-04,7.40573718e-04
5.69437410e-11,5.69437410e-11,-6.15188247e-04,7.38225896e-04
5.69876863e-11,5.69876863e-11,-6.13239352e-04,7.35887222e-04
5.70316316e-11,5.70316316e-11,-6.11298024e-04,7.33557629e-04
5.70755769e-11,5.70755769e-11,-6.09364211e-04,7.31237053e-04
5.71195222e-11,5.71195222e-11,-6.07437857e-04,7.28925429e-04
5.71634676e-11,5.71634676e-11,-6.05518913e-04,7.26622695e-04
5.72074129e-11,5.72074129e-11,-6.03607325e-04,7.24328790e-04
5.72513582e-11,5.72513582e-11,-6.01703044e-04,7.22043653e-04
5.72953035e-11,5.72953035e-11,-5.99806021e-04,7.19767225e-04
5.73392488e-11,5.73392488e-11,-5.97916207e-04,7.17499449e-04
5.73831941e-11,5.73831941e-11,-5.96033556e-04,7.15240267e-04
5.74271394e-11,5.74271394e-11,-5.94158020e-04,7.12989624e-04
5.74710847e-11,5.74710847e-11,-5.92289555e-04,7.10747466e-04
5.75150301e-11,5.75150301e-11,-5.90428116e-04,7.08513739e-04
5.75589754e-11,5.75589754e-11,-5.88573658e-04,7.06288389e-04
5.76029207e-11,5.76029207e-11,-5.86726139e-04,7.04071367e-04
5.76468660e-11,5.76468660e-11,-5.84885517e-04,7.01862621e-04
5.76908113e-11,5.76908113e-11,-5.83051751e-04,6.99662101e-04
5.77347566e-11,5.77347566e-11,-5.81224799e-04,6.97469759e-04
5.77787019e-11,5.77787019e-11,-5.79404622e-04,6.95285547e-04
5.78226472e-11,5.78226472e-11,-5.77591181e-04,6.93109417e-04
5.79105379e-11,5.79105379e-11,-5.73984327e-04,6.88781192e-04
5.79984285e-11,5.79984285e-11,-5.70403965e-04,6.84484758e-04
5.80863191e-11,5.80863191e-11,-5.66849808e-04,6.80219769e-04
5.81742097e-11,5.81742097e-11,-5.63321576e-04,6.75985891e-04
5.82621004e-11,5.82621004e-11,-5.59819002e-04,6.71782802e-04
5.83499910e-11,5.83499910e-11,-5.56341825e-04,6.67610190e-04
5.84378816e-11,5.84378816e-11,-5.52889796e-04,6.63467756e-04
5.85257722e-11,5.85257722e-11,-5.49462673e-04,6.59355207e-04
5.86136629e-11,5.86136629e-11,-5.46060220e-04,6.55272265e-04
5.87015535e-11,5.87015535e-11,-5.42682213e-04,6.51218656e-04
5.87894441e-11,5.87894441e-11,-5.39328432e-04,6.47194118e-04
5.88773347e-11,5.88773347e-11,-5.35998664e-04,6.43198396e-04
5.89652254e-11,5.89652254e-11,-5.32692704e-04,6.39231245e-04
5.90531160e-11,5.90531160e-11,-5.29410353e-04,6.35292424e-04
5.91410066e-11,5.91410066e-11,-5.26151418e-04,6.31381702e-04
5.92288972e-11,5.92288972e-11,-5.22915711e-04,6.27498854e-04
5.93167879e-11,5.93167879e-11,-5.19703051e-04,6.23643661e-04
5.94046785e-11,5.94046785e-11,-5.16513260e-04,6.19815912e-04
5.94925691e-11,5.94925691e-11,-5.13346167e-04,6.16015400e-04
