Index       TIME              V(A)              V(B)             V(CIN)             V(D)              V(S)              V(C)             V(_04_)           V(_05_)           V(_01_)           V(_02_)           V(_03_)           V(_00_)     
64       5.86272078e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.03526494e-01    4.45929256e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    9.10557991e-01    1.09060685e+00    1.19999999e+00    1.29072110e-06
65       5.87017455e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.04420947e-01    4.62869109e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    9.85890441e-01    1.02126528e+00    1.19999999e+00    1.28750461e-06
66       5.87762833e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.05315399e-01    4.89254355e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.04803237e+00    9.36225917e-01    1.19999999e+00    1.28430017e-06
67       5.88508210e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.06209852e-01    5.28775326e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.09626045e+00    8.36635885e-01    1.19999999e+00    1.28110772e-06
68       5.89253588e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.07104305e-01    5.87823150e-09    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.13158652e+00    7.21973586e-01    1.19999999e+00    1.27792721e-06
69       5.89998965e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.07998758e-01    3.25199020e-03    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.15622195e+00    5.88868816e-01    1.19999999e+00    1.27475856e-06
70       5.90744343e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.08893211e-01    2.34979545e-02    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.17270307e+00    4.43773288e-01    1.19999999e+00    1.27160172e-06
71       5.91415182e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.09698219e-01    7.10076259e-02    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.18246862e+00    3.22970926e-01    1.19999999e+00    1.26877062e-06
72       5.92000366e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.10400439e-01    1.40798395e-01    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.18821617e+00    2.38244440e-01    1.19999999e+00    1.26630875e-06
73       5.92527032e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.11032438e-01    2.25924457e-01    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19182058e+00    1.79735444e-01    1.19999999e+00    1.26409921e-06
74       5.93053697e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.11664437e-01    3.30049044e-01    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19436117e+00    1.35673712e-01    1.19999999e+00    1.26189547e-06
75       5.93580363e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.12296435e-01    4.51319591e-01    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19613577e+00    1.03149664e-01    1.19999999e+00    1.25969751e-06
76       5.94107028e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.12928434e-01    5.89939610e-01    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19736556e+00    7.93977945e-02    1.19999999e+00    1.25750530e-06
77       5.94633694e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.13560432e-01    7.43061454e-01    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19821199e+00    6.21104581e-02    1.19999999e+00    1.25531884e-06
