TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
7.75000000e-09,7.75000000e-09,-2.32581649e-12,-2.79097978e-12,2.79097978e-12
7.80000000e-09,7.80000000e-09,-2.32580363e-12,-2.79096436e-12,2.79096436e-12
7.85000000e-09,7.85000000e-09,-2.32581657e-12,-2.79097988e-12,2.79097988e-12
7.90000000e-09,7.90000000e-09,-2.32580355e-12,-2.79096426e-12,2.79096426e-12
7.95000000e-09,7.95000000e-09,-2.32581665e-12,-2.79097998e-12,2.79097998e-12
8.00000000e-09,8.00000000e-09,-2.32580346e-12,-2.79096416e-12,2.79096416e-12
8.05000000e-09,8.05000000e-09,-2.32581674e-12,-2.79098008e-12,2.79098008e-12
8.10000000e-09,8.10000000e-09,-2.32580338e-12,-2.79096406e-12,2.79096406e-12
8.15000000e-09,8.15000000e-09,-2.32581682e-12,-2.79098018e-12,2.79098018e-12
8.20000000e-09,8.20000000e-09,-2.32580330e-12,-2.79096396e-12,2.79096396e-12
8.25000000e-09,8.25000000e-09,-2.32581690e-12,-2.79098029e-12,2.79098029e-12
8.30000000e-09,8.30000000e-09,-2.32580321e-12,-2.79096385e-12,2.79096385e-12
8.35000000e-09,8.35000000e-09,-2.32581699e-12,-2.79098039e-12,2.79098039e-12
8.40000000e-09,8.40000000e-09,-2.32580313e-12,-2.79096375e-12,2.79096375e-12
8.45000000e-09,8.45000000e-09,-2.32581707e-12,-2.79098049e-12,2.79098049e-12
8.50000000e-09,8.50000000e-09,-2.32580305e-12,-2.79096365e-12,2.79096365e-12
8.55000000e-09,8.55000000e-09,-2.32581716e-12,-2.79098059e-12,2.79098059e-12
8.60000000e-09,8.60000000e-09,-2.32580296e-12,-2.79096355e-12,2.79096355e-12
8.65000000e-09,8.65000000e-09,-2.32581724e-12,-2.79098069e-12,2.79098069e-12
8.70000000e-09,8.70000000e-09,-2.32580288e-12,-2.79096345e-12,2.79096345e-12
8.75000000e-09,8.75000000e-09,-2.32581732e-12,-2.79098079e-12,2.79098079e-12
8.80000000e-09,8.80000000e-09,-2.32580279e-12,-2.79096335e-12,2.79096335e-12
8.85000000e-09,8.85000000e-09,-2.32581741e-12,-2.79098089e-12,2.79098089e-12
8.90000000e-09,8.90000000e-09,-2.32580271e-12,-2.79096325e-12,2.79096325e-12
8.95000000e-09,8.95000000e-09,-2.32581749e-12,-2.79098099e-12,2.79098099e-12
9.00000000e-09,9.00000000e-09,-2.32580263e-12,-2.79096315e-12,2.79096315e-12
9.05000000e-09,9.05000000e-09,-2.32581757e-12,-2.79098109e-12,2.79098109e-12
9.10000000e-09,9.10000000e-09,-2.32580254e-12,-2.79096305e-12,2.79096305e-12
9.15000000e-09,9.15000000e-09,-2.32581766e-12,-2.79098119e-12,2.79098119e-12
9.20000000e-09,9.20000000e-09,-2.32580246e-12,-2.79096295e-12,2.79096295e-12
9.25000000e-09,9.25000000e-09,-2.32581774e-12,-2.79098129e-12,2.79098129e-12
9.30000000e-09,9.30000000e-09,-2.32580238e-12,-2.79096285e-12,2.79096285e-12
9.35000000e-09,9.35000000e-09,-2.32581782e-12,-2.79098139e-12,2.79098139e-12
9.40000000e-09,9.40000000e-09,-2.32580229e-12,-2.79096275e-12,2.79096275e-12
9.45000000e-09,9.45000000e-09,-2.32581791e-12,-2.79098149e-12,2.79098149e-12
9.50000000e-09,9.50000000e-09,-2.32580221e-12,-2.79096265e-12,2.79096265e-12
9.55000000e-09,9.55000000e-09,-2.32581799e-12,-2.79098159e-12,2.79098159e-12
9.60000000e-09,9.60000000e-09,-2.32580212e-12,-2.79096255e-12,2.79096255e-12
9.65000000e-09,9.65000000e-09,-2.32581808e-12,-2.79098169e-12,2.79098169e-12
9.70000000e-09,9.70000000e-09,-2.32580204e-12,-2.79096245e-12,2.79096245e-12
9.75000000e-09,9.75000000e-09,-2.32581816e-12,-2.79098179e-12,2.79098179e-12
9.80000000e-09,9.80000000e-09,-2.32580196e-12,-2.79096235e-12,2.79096235e-12
