TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
1.35200000e-08,1.35200000e-08,-2.98596172e-10,-3.58315406e-10,3.58315406e-10
1.37200000e-08,1.37200000e-08,-2.85580844e-10,-3.42697013e-10,3.42697013e-10
1.39200000e-08,1.39200000e-08,-2.73529809e-10,-3.28235771e-10,3.28235771e-10
1.41200000e-08,1.41200000e-08,-2.62342251e-10,-3.14810701e-10,3.14810701e-10
1.43200000e-08,1.43200000e-08,-2.51944269e-10,-3.02333122e-10,3.02333122e-10
1.45200000e-08,1.45200000e-08,-2.42257398e-10,-2.90708878e-10,2.90708878e-10
1.47200000e-08,1.47200000e-08,-2.33223156e-10,-2.79867787e-10,2.79867787e-10
1.49200000e-08,1.49200000e-08,-2.24779782e-10,-2.69735738e-10,2.69735738e-10
1.51200000e-08,1.51200000e-08,-2.16880426e-10,-2.60256511e-10,2.60256511e-10
1.53200000e-08,1.53200000e-08,-2.09475941e-10,-2.51371129e-10,2.51371129e-10
1.55200000e-08,1.55200000e-08,-2.02528343e-10,-2.43034012e-10,2.43034012e-10
1.57200000e-08,1.57200000e-08,-1.95998053e-10,-2.35197664e-10,2.35197664e-10
1.59200000e-08,1.59200000e-08,-1.89853831e-10,-2.27824597e-10,2.27824597e-10
1.61200000e-08,1.61200000e-08,-1.84063249e-10,-2.20875899e-10,2.20875899e-10
1.63200000e-08,1.63200000e-08,-4.55104080e-07,-5.46124896e-07,5.46124896e-07
1.65200000e-08,1.65200000e-08,-2.44573185e-06,-2.93487822e-06,2.93487822e-06
1.67200000e-08,1.67200000e-08,-6.02426450e-06,-7.22911740e-06,7.22911740e-06
1.69200000e-08,1.69200000e-08,-1.06707953e-05,-1.28049544e-05,1.28049544e-05
1.69497055e-08,1.69497055e-08,-1.13932410e-05,-1.36718892e-05,1.36718892e-05
1.70091165e-08,1.70091165e-08,-1.26716859e-05,-1.52060230e-05,1.52060230e-05
1.70300868e-08,1.70300868e-08,-1.30892533e-05,-1.57071040e-05,1.57071040e-05
1.70720274e-08,1.70720274e-08,-1.36098168e-05,-1.63317801e-05,1.63317801e-05
1.71559086e-08,1.71559086e-08,-1.20077565e-05,-1.44093079e-05,1.44093079e-05
1.72266667e-08,1.72266667e-08,-9.62233545e-06,-1.15468025e-05,1.15468025e-05
1.72888136e-08,1.72888136e-08,-7.84351736e-06,-9.41222084e-06,9.41222084e-06
1.73509606e-08,1.73509606e-08,-6.16455331e-06,-7.39746397e-06,7.39746397e-06
1.74131075e-08,1.74131075e-08,-1.36388659e-05,-1.63666390e-05,1.63666390e-05
1.74184946e-08,1.74184946e-08,-1.77785485e-05,-2.13342581e-05,2.13342581e-05
1.74292688e-08,1.74292688e-08,-2.83113913e-05,-3.39736696e-05,3.39736696e-05
1.74400430e-08,1.74400430e-08,-4.19895634e-05,-5.03874760e-05,5.03874760e-05
1.74508172e-08,1.74508172e-08,-5.90167045e-05,-7.08200454e-05,7.08200454e-05
1.74615914e-08,1.74615914e-08,-7.97229871e-05,-9.56675845e-05,9.56675845e-05
1.74723655e-08,1.74723655e-08,-1.04527617e-04,-1.25433141e-04,1.25433141e-04
1.74831397e-08,1.74831397e-08,-1.33878403e-04,-1.60654083e-04,1.60654083e-04
1.74939139e-08,1.74939139e-08,-1.68197245e-04,-2.01836694e-04,2.01836694e-04
1.75046881e-08,1.75046881e-08,-2.07852016e-04,-2.49422419e-04,2.49422419e-04
1.75143848e-08,1.75143848e-08,-2.48365342e-04,-2.98038411e-04,2.98038411e-04
1.75231119e-08,1.75231119e-08,-2.84315822e-04,-3.41178987e-04,3.41178987e-04
1.75244235e-08,1.75244235e-08,-2.88928859e-04,-3.46714631e-04,3.46714631e-04
1.75257351e-08,1.75257351e-08,-2.93271187e-04,-3.51925425e-04,3.51925425e-04
1.75283582e-08,1.75283582e-08,-3.00880763e-04,-3.61056916e-04,3.61056916e-04
1.75309814e-08,1.75309814e-08,-3.06869034e-04,-3.68242840e-04,3.68242840e-04
1.75336045e-08,1.75336045e-08,-3.11142642e-04,-3.73371171e-04,3.73371171e-04
1.75362276e-08,1.75362276e-08,-3.13760217e-04,-3.76512261e-04,3.76512261e-04
1.75388508e-08,1.75388508e-08,-3.14909392e-04,-3.77891271e-04,3.77891271e-04
1.75414739e-08,1.75414739e-08,-3.14864749e-04,-3.77837699e-04,3.77837699e-04
1.75440971e-08,1.75440971e-08,-3.13944602e-04,-3.76733523e-04,3.76733523e-04
1.75467202e-08,1.75467202e-08,-3.12476955e-04,-3.74972346e-04,3.74972346e-04
1.75493434e-08,1.75493434e-08,-3.10771107e-04,-3.72925328e-04,3.72925328e-04
1.75519665e-08,1.75519665e-08,-3.09107243e-04,-3.70928691e-04,3.70928691e-04
1.75545897e-08,1.75545897e-08,-3.05689999e-04,-3.66827999e-04,3.66827999e-04
1.75572128e-08,1.75572128e-08,-2.96305823e-04,-3.55566988e-04,3.55566988e-04
1.75624591e-08,1.75624591e-08,-2.60753084e-04,-3.12903700e-04,3.12903700e-04
1.75677054e-08,1.75677054e-08,-2.10422747e-04,-2.52507296e-04,2.52507296e-04
1.75729517e-08,1.75729517e-08,-1.57537618e-04,-1.89045141e-04,1.89045141e-04
1.75781980e-08,1.75781980e-08,-1.11435567e-04,-1.33722680e-04,1.33722680e-04
1.75834443e-08,1.75834443e-08,-7.59881016e-05,-9.11857219e-05,9.11857219e-05
1.75886906e-08,1.75886906e-08,-5.09372493e-05,-6.11246991e-05,6.11246991e-05
1.75939369e-08,1.75939369e-08,-3.41648245e-05,-4.09977894e-05,4.09977894e-05
1.75991832e-08,1.75991832e-08,-2.32853083e-05,-2.79423700e-05,2.79423700e-05
1.76044295e-08,1.76044295e-08,-1.63280159e-05,-1.95936191e-05,1.95936191e-05
1.76096758e-08,1.76096758e-08,-1.18818189e-05,-1.42581826e-05,1.42581826e-05
1.76149221e-08,1.76149221e-08,-9.00754300e-06,-1.08090516e-05,1.08090516e-05
1.76201684e-08,1.76201684e-08,-7.11090246e-06,-8.53308295e-06,8.53308295e-06
1.76254147e-08,1.76254147e-08,-5.82196935e-06,-6.98636322e-06,6.98636322e-06
1.76359073e-08,1.76359073e-08,-4.21914223e-06,-5.06297068e-06,5.06297068e-06
1.76568925e-08,1.76568925e-08,-2.70678326e-06,-3.24813991e-06,3.24813991e-06
1.76778776e-08,1.76778776e-08,-2.01165658e-06,-2.41398790e-06,2.41398790e-06
