TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
8.65235329e-12,8.65235329e-12,-3.68038758e-03,4.41646510e-03
8.67188454e-12,8.67188454e-12,-3.67396130e-03,4.40875355e-03
8.69141579e-12,8.69141579e-12,-3.66753509e-03,4.40104211e-03
8.71094704e-12,8.71094704e-12,-3.66110916e-03,4.39333100e-03
8.73047829e-12,8.73047829e-12,-3.65468372e-03,4.38562047e-03
8.75000954e-12,8.75000954e-12,-3.64825896e-03,4.37791076e-03
8.76954079e-12,8.76954079e-12,-3.64183509e-03,4.37020211e-03
8.78907204e-12,8.78907204e-12,-3.63541230e-03,4.36249476e-03
8.80860329e-12,8.80860329e-12,-3.62899079e-03,4.35478895e-03
8.82813454e-12,8.82813454e-12,-3.62257076e-03,4.34708492e-03
8.84766579e-12,8.84766579e-12,-3.61615241e-03,4.33938289e-03
8.86719704e-12,8.86719704e-12,-3.60973593e-03,4.33168311e-03
8.88672829e-12,8.88672829e-12,-3.60332151e-03,4.32398582e-03
8.90625954e-12,8.90625954e-12,-3.59690936e-03,4.31629123e-03
8.92579079e-12,8.92579079e-12,-3.59049966e-03,4.30859959e-03
8.94532204e-12,8.94532204e-12,-3.58409260e-03,4.30091112e-03
8.96485329e-12,8.96485329e-12,-3.57768838e-03,4.29322605e-03
8.98438454e-12,8.98438454e-12,-3.57128718e-03,4.28554461e-03
9.00391579e-12,9.00391579e-12,-3.56488920e-03,4.27786704e-03
9.02344704e-12,9.02344704e-12,-3.55849462e-03,4.27019354e-03
9.04297829e-12,9.04297829e-12,-3.55210362e-03,4.26252435e-03
9.06250954e-12,9.06250954e-12,-3.54571641e-03,4.25485969e-03
9.08204079e-12,9.08204079e-12,-3.53933315e-03,4.24719978e-03
9.10157204e-12,9.10157204e-12,-3.53295403e-03,4.23954484e-03
9.12110329e-12,9.12110329e-12,-3.52657924e-03,4.23189509e-03
9.14063454e-12,9.14063454e-12,-3.52020896e-03,4.22425075e-03
9.16016579e-12,9.16016579e-12,-3.51384336e-03,4.21661203e-03
9.17969704e-12,9.17969704e-12,-3.50748262e-03,4.20897915e-03
9.19922829e-12,9.19922829e-12,-3.50112693e-03,4.20135232e-03
9.21875954e-12,9.21875954e-12,-3.49477646e-03,4.19373175e-03
9.23829079e-12,9.23829079e-12,-3.48843139e-03,4.18611766e-03
9.25782204e-12,9.25782204e-12,-3.48209188e-03,4.17851026e-03
9.27735329e-12,9.27735329e-12,-3.47575812e-03,4.17090974e-03
9.29688454e-12,9.29688454e-12,-3.46943027e-03,4.16331632e-03
9.31641579e-12,9.31641579e-12,-3.46310851e-03,4.15573021e-03
9.33594704e-12,9.33594704e-12,-3.45679300e-03,4.14815160e-03
9.35547829e-12,9.35547829e-12,-3.45048391e-03,4.14058070e-03
9.37500954e-12,9.37500954e-12,-3.44418142e-03,4.13301770e-03
9.39454079e-12,9.39454079e-12,-3.43788568e-03,4.12546282e-03
9.41407204e-12,9.41407204e-12,-3.43159686e-03,4.11791623e-03
9.43360329e-12,9.43360329e-12,-3.42531512e-03,4.11037815e-03
9.45313454e-12,9.45313454e-12,-3.41904063e-03,4.10284876e-03
9.47266579e-12,9.47266579e-12,-3.41277355e-03,4.09532826e-03
9.49219704e-12,9.49219704e-12,-3.40651403e-03,4.08781683e-03
9.51172829e-12,9.51172829e-12,-3.40026223e-03,4.08031468e-03
9.53125954e-12,9.53125954e-12,-3.39401831e-03,4.07282197e-03
9.55079079e-12,9.55079079e-12,-3.38778243e-03,4.06533891e-03
9.57032204e-12,9.57032204e-12,-3.38155473e-03,4.05786568e-03
9.58985329e-12,9.58985329e-12,-3.37533538e-03,4.05040246e-03
9.60938454e-12,9.60938454e-12,-3.36912452e-03,4.04294942e-03
9.62891579e-12,9.62891579e-12,-3.36292230e-03,4.03550676e-03
9.64844704e-12,9.64844704e-12,-3.35672887e-03,4.02807465e-03
9.66797829e-12,9.66797829e-12,-3.35054439e-03,4.02065326e-03
9.68750954e-12,9.68750954e-12,-3.34436898e-03,4.01324278e-03
9.70704079e-12,9.70704079e-12,-3.33820280e-03,4.00584337e-03
9.72657204e-12,9.72657204e-12,-3.33204600e-03,3.99845520e-03
9.74610329e-12,9.74610329e-12,-3.32589871e-03,3.99107845e-03
9.76563454e-12,9.76563454e-12,-3.31976107e-03,3.98371329e-03
9.78516579e-12,9.78516579e-12,-3.31363323e-03,3.97635987e-03
9.80469704e-12,9.80469704e-12,-3.30751531e-03,3.96901837e-03
9.82422829e-12,9.82422829e-12,-3.30140746e-03,3.96168896e-03
9.84375954e-12,9.84375954e-12,-3.29530982e-03,3.95437178e-03
9.86329079e-12,9.86329079e-12,-3.28922250e-03,3.94706700e-03
9.88282204e-12,9.88282204e-12,-3.28314565e-03,3.93977478e-03
9.90235329e-12,9.90235329e-12,-3.27707940e-03,3.93249528e-03
9.92188454e-12,9.92188454e-12,-3.27102388e-03,3.92522865e-03
9.94141579e-12,9.94141579e-12,-3.26497920e-03,3.91797504e-03
9.96094704e-12,9.96094704e-12,-3.25894551e-03,3.91073461e-03
9.98047829e-12,9.98047829e-12,-3.25292292e-03,3.90350751e-03
1.00000095e-11,1.00000095e-11,-3.24691156e-03,3.89629387e-03
1.00195408e-11,1.00195408e-11,-3.24091155e-03,3.88909386e-03
1.00390720e-11,1.00390720e-11,-3.23492301e-03,3.88190761e-03
1.00586033e-11,1.00586033e-11,-3.22894605e-03,3.87473527e-03
1.00781345e-11,1.00781345e-11,-3.22298081e-03,3.86757697e-03
1.00976658e-11,1.00976658e-11,-3.21702739e-03,3.86043286e-03
1.01171970e-11,1.01171970e-11,-3.21108590e-03,3.85330308e-03
1.01367283e-11,1.01367283e-11,-3.20515647e-03,3.84618776e-03
1.01562595e-11,1.01562595e-11,-3.19923920e-03,3.83908704e-03
1.01757908e-11,1.01757908e-11,-3.19333421e-03,3.83200105e-03
1.01953220e-11,1.01953220e-11,-3.18744159e-03,3.82492991e-03
1.02148533e-11,1.02148533e-11,-3.18156147e-03,3.81787377e-03
1.02343845e-11,1.02343845e-11,-3.17569395e-03,3.81083274e-03
1.02539158e-11,1.02539158e-11,-3.16983913e-03,3.80380696e-03
1.02734470e-11,1.02734470e-11,-3.16399711e-03,3.79679654e-03
1.02929783e-11,1.02929783e-11,-3.15816801e-03,3.78980161e-03
1.03125095e-11,1.03125095e-11,-3.15235191e-03,3.78282229e-03
1.03320408e-11,1.03320408e-11,-3.14654892e-03,3.77585870e-03
1.03515720e-11,1.03515720e-11,-3.14075914e-03,3.76891096e-03
1.03711033e-11,1.03711033e-11,-3.13498266e-03,3.76197919e-03
1.03906345e-11,1.03906345e-11,-3.12921957e-03,3.75506349e-03
