Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
96       5.88373811e-08    0.00000000e+00    0.00000000e+00    6.62803585e-01    1.20000000e+00    1.20000000e+00    4.58233465e-09    7.03888182e-01    1.97532182e-01    1.19999999e+00
97       5.88493352e-08    0.00000000e+00    0.00000000e+00    6.63700141e-01    1.20000000e+00    1.20000000e+00    8.61527679e-05    6.89754576e-01    2.59657207e-01    1.19999999e+00
98       5.88612893e-08    0.00000000e+00    0.00000000e+00    6.64596698e-01    1.20000000e+00    1.20000000e+00    6.38928198e-04    6.75312549e-01    3.34386680e-01    1.19999999e+00
99       5.88732434e-08    0.00000000e+00    0.00000000e+00    6.65493254e-01    1.20000000e+00    1.20000000e+00    2.17641910e-03    6.60534413e-01    4.24612341e-01    1.19999999e+00
100      5.88851975e-08    0.00000000e+00    0.00000000e+00    6.66389811e-01    1.20000000e+00    1.19913156e+00    5.15603945e-03    6.45382470e-01    5.35145676e-01    1.19999999e+00
101      5.88971516e-08    0.00000000e+00    0.00000000e+00    6.67286367e-01    1.20000000e+00    1.17120426e+00    1.01248798e-02    6.29804239e-01    6.78714315e-01    1.19999999e+00
102      5.88985097e-08    0.00000000e+00    0.00000000e+00    6.67388231e-01    1.20000000e+00    1.16362158e+00    1.08555246e-02    6.28002050e-01    6.98336639e-01    1.19999999e+00
103      5.88998679e-08    0.00000000e+00    0.00000000e+00    6.67490094e-01    1.20000000e+00    1.15530587e+00    1.16049520e-02    6.26196461e-01    7.18438004e-01    1.19999999e+00
104      5.89025843e-08    0.00000000e+00    0.00000000e+00    6.67693821e-01    1.20000000e+00    1.13376417e+00    1.32211030e-02    6.22564570e-01    7.61357220e-01    1.19999999e+00
105      5.89053006e-08    0.00000000e+00    0.00000000e+00    6.67897548e-01    1.20000000e+00    1.10463440e+00    1.50035340e-02    6.18904314e-01    8.07627866e-01    1.19999999e+00
106      5.89080170e-08    0.00000000e+00    0.00000000e+00    6.68101275e-01    1.20000000e+00    1.06651890e+00    1.69667483e-02    6.15214536e-01    8.56963437e-01    1.19999999e+00
107      5.89107334e-08    0.00000000e+00    0.00000000e+00    6.68305002e-01    1.20000000e+00    1.01813929e+00    1.91271368e-02    6.11493902e-01    9.08404376e-01    1.19999999e+00
108      5.89134497e-08    0.00000000e+00    0.00000000e+00    6.68508729e-01    1.20000000e+00    9.58725779e-01    2.15033064e-02    6.07740901e-01    9.59434617e-01    1.19999999e+00
109      5.89161661e-08    0.00000000e+00    0.00000000e+00    6.68712456e-01    1.20000000e+00    8.88424876e-01    2.41164799e-02    6.03953845e-01    1.00700554e+00    1.19999999e+00
110      5.89188824e-08    0.00000000e+00    0.00000000e+00    6.68916184e-01    1.20000000e+00    8.08304573e-01    2.69909857e-02    6.00130852e-01    1.04890623e+00    1.19999999e+00
