Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)              V(C)       
157      7.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
158      7.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
159      7.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
160      7.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
161      8.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
162      8.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
163      8.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
164      8.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
165      8.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
166      8.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
167      8.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
168      8.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
169      8.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
170      8.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
171      8.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
172      8.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
173      8.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
174      8.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
