TIME,V(_00_),V(_01_),V(_02_),V(_03_),V(_04_)
5.95704079e-12,3.96491581e-09,1.98245791e-09,1.87026886e-04,5.51581330e-01,1.29653815e-01
5.96680641e-12,3.97141566e-09,1.98570783e-09,1.96986841e-04,5.52480268e-01,1.30091968e-01
5.97657204e-12,3.97791552e-09,1.98895776e-09,2.07292675e-04,5.53379009e-01,1.30532491e-01
5.98633766e-12,3.98441537e-09,1.99220768e-09,2.17950155e-04,5.54277548e-01,1.30975376e-01
5.99610329e-12,3.99091522e-09,1.99545761e-09,2.28965036e-04,5.55175882e-01,1.31420619e-01
6.00586891e-12,3.99741507e-09,1.99870754e-09,2.40343066e-04,5.56074007e-01,1.31868213e-01
6.01563454e-12,4.00391492e-09,2.00195746e-09,2.52089983e-04,5.56971920e-01,1.32318153e-01
6.02540016e-12,4.01041477e-09,2.00520739e-09,2.64211514e-04,5.57869616e-01,1.32770433e-01
6.03516579e-12,4.01691462e-09,2.00845731e-09,2.76713377e-04,5.58767092e-01,1.33225046e-01
6.04493141e-12,4.02341448e-09,2.01170724e-09,2.89601281e-04,5.59664345e-01,1.33681987e-01
6.05469704e-12,4.02991433e-09,2.01495716e-09,3.02880923e-04,5.60561370e-01,1.34141250e-01
6.06446266e-12,4.03641418e-09,2.01820709e-09,3.16557992e-04,5.61458163e-01,1.34602828e-01
6.07422829e-12,4.04291403e-09,2.02145702e-09,3.30638165e-04,5.62354722e-01,1.35066714e-01
6.08399391e-12,4.04941388e-09,2.02470694e-09,3.45127109e-04,5.63251041e-01,1.35532903e-01
6.09375954e-12,4.05591373e-09,2.02795687e-09,3.60030480e-04,5.64147118e-01,1.36001389e-01
6.11329079e-12,4.06891344e-09,2.03445672e-09,3.91105887e-04,5.65938527e-01,1.36945219e-01
6.13282204e-12,4.08191314e-09,2.04095657e-09,4.23906592e-04,5.67728920e-01,1.37898156e-01
6.15235329e-12,4.09491284e-09,2.04745642e-09,4.58477446e-04,5.69518266e-01,1.38860146e-01
6.17188454e-12,4.10791255e-09,2.05395627e-09,4.94863118e-04,5.71306535e-01,1.39831137e-01
6.19141579e-12,4.12091225e-09,2.06045613e-09,5.33108088e-04,5.73093696e-01,1.40811072e-01
6.21094704e-12,4.13391195e-09,2.06695598e-09,5.73256642e-04,5.74879719e-01,1.41799897e-01
6.23047829e-12,4.14691166e-09,2.07345583e-09,6.15352872e-04,5.76664572e-01,1.42797555e-01
6.25000954e-12,4.15991136e-09,2.07995568e-09,6.59440668e-04,5.78448226e-01,1.43803991e-01
6.26954079e-12,4.17291106e-09,2.08645553e-09,7.05563714e-04,5.80230648e-01,1.44819146e-01
6.28907204e-12,4.18591077e-09,2.09295538e-09,7.53765485e-04,5.82011809e-01,1.45842963e-01
6.30860329e-12,4.19891047e-09,2.09945523e-09,8.04089244e-04,5.83791676e-01,1.46875383e-01
6.32813454e-12,4.21191017e-09,2.10595509e-09,8.56578035e-04,5.85570220e-01,1.47916346e-01
6.34766579e-12,4.22490988e-09,2.11245494e-09,9.11274681e-04,5.87347409e-01,1.48965794e-01
6.36719704e-12,4.23790958e-09,2.11895479e-09,9.68221780e-04,5.89123211e-01,1.50023667e-01
6.38672829e-12,4.25090928e-09,2.12545464e-09,1.02746170e-03,5.90897597e-01,1.51089903e-01
6.40625954e-12,4.26390898e-09,2.13195449e-09,1.08903658e-03,5.92670534e-01,1.52164442e-01
6.42579079e-12,4.27690869e-09,2.13845434e-09,1.15298831e-03,5.94441991e-01,1.53247223e-01
6.44532204e-12,4.28990839e-09,2.14495420e-09,1.21935855e-03,5.96211937e-01,1.54338184e-01
6.46485329e-12,4.30290809e-09,2.15145405e-09,1.28818872e-03,5.97980342e-01,1.55437262e-01
6.48438454e-12,4.31590780e-09,2.15795390e-09,1.35951998e-03,5.99747173e-01,1.56544395e-01
6.50391579e-12,4.32890750e-09,2.16445375e-09,1.43339325e-03,6.01512399e-01,1.57659521e-01
6.52344704e-12,4.34190720e-09,2.17095360e-09,1.50984918e-03,6.03275990e-01,1.58782577e-01
6.54297829e-12,4.35490691e-09,2.17745345e-09,1.58892817e-03,6.05037914e-01,1.59913500e-01
6.56250954e-12,4.36790661e-09,2.18395330e-09,1.67067036e-03,6.06798140e-01,1.61052225e-01
6.58204079e-12,4.38090631e-09,2.19045316e-09,1.75511563e-03,6.08556636e-01,1.62198690e-01
6.60157204e-12,4.39390602e-09,2.19695301e-09,1.84230357e-03,6.10313372e-01,1.63352831e-01
6.62110329e-12,4.40690572e-09,2.20345286e-09,1.93227351e-03,6.12068316e-01,1.64514583e-01
6.64063454e-12,4.41990542e-09,2.20995271e-09,2.02506452e-03,6.13821437e-01,1.65683883e-01
6.66016579e-12,4.43290513e-09,2.21645256e-09,2.12071537e-03,6.15572704e-01,1.66860667e-01
6.67969704e-12,4.44590483e-09,2.22295241e-09,2.21926455e-03,6.17322086e-01,1.68044870e-01
6.69922829e-12,4.45890453e-09,2.22945227e-09,2.32075027e-03,6.19069552e-01,1.69236428e-01
6.71875954e-12,4.47190423e-09,2.23595212e-09,2.42521047e-03,6.20815072e-01,1.70435276e-01
6.73829079e-12,4.48490394e-09,2.24245197e-09,2.53268276e-03,6.22558613e-01,1.71641351e-01
6.75782204e-12,4.49790364e-09,2.24895182e-09,2.64320449e-03,6.24300146e-01,1.72854587e-01
6.77735329e-12,4.51090334e-09,2.25545167e-09,2.75681271e-03,6.26039639e-01,1.74074921e-01
6.79688454e-12,4.52390305e-09,2.26195152e-09,2.87354415e-03,6.27777061e-01,1.75302288e-01
6.81641579e-12,4.53690275e-09,2.26845138e-09,2.99343526e-03,6.29512383e-01,1.76536624e-01
6.83594704e-12,4.54990245e-09,2.27495123e-09,3.11652217e-03,6.31245573e-01,1.77777863e-01
6.85547829e-12,4.56290216e-09,2.28145108e-09,3.24284072e-03,6.32976602e-01,1.79025944e-01
6.87500954e-12,4.57590186e-09,2.28795093e-09,3.37242642e-03,6.34705437e-01,1.80280800e-01
6.89454079e-12,4.58890156e-09,2.29445078e-09,3.50531449e-03,6.36432050e-01,1.81542368e-01
6.91407204e-12,4.60190127e-09,2.30095063e-09,3.64153982e-03,6.38156409e-01,1.82810585e-01
6.93360329e-12,4.61490097e-09,2.30745048e-09,3.78113698e-03,6.39878486e-01,1.84085386e-01
6.95313454e-12,4.62790067e-09,2.31395034e-09,3.92414024e-03,6.41598248e-01,1.85366708e-01
6.97266579e-12,4.64090038e-09,2.32045019e-09,4.07058353e-03,6.43315668e-01,1.86654488e-01
6.99219704e-12,4.65390008e-09,2.32695004e-09,4.22050047e-03,6.45030714e-01,1.87948663e-01
7.01172829e-12,4.66689978e-09,2.33344989e-09,4.37392435e-03,6.46743357e-01,1.89249168e-01
