Index       TIME              V(A)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
2695     1.30325000e-07    1.20000000e+00    0.00000000e+00    3.90000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999992e+00
2696     1.30375000e-07    1.20000000e+00    0.00000000e+00    4.50000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2697     1.30425000e-07    1.20000000e+00    0.00000000e+00    5.10000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2698     1.30475000e-07    1.20000000e+00    0.00000000e+00    5.70000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2699     1.30525000e-07    1.20000000e+00    0.00000000e+00    6.30000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2700     1.30575000e-07    1.20000000e+00    0.00000000e+00    6.90000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2701     1.30625000e-07    1.20000000e+00    0.00000000e+00    7.50000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2702     1.30675000e-07    1.20000000e+00    0.00000000e+00    8.10000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2703     1.30725000e-07    1.20000000e+00    0.00000000e+00    8.70000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2704     1.30775000e-07    1.20000000e+00    0.00000000e+00    9.30000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2705     1.30825000e-07    1.20000000e+00    0.00000000e+00    9.90000000e-02    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2706     1.30875000e-07    1.20000000e+00    0.00000000e+00    1.05000000e-01    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2707     1.30925000e-07    1.20000000e+00    0.00000000e+00    1.11000000e-01    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2708     1.30975000e-07    1.20000000e+00    0.00000000e+00    1.17000000e-01    1.20000000e+00    1.60124631e-09    1.19999998e+00    1.19999993e+00
2709     1.31025000e-07    1.20000000e+00    0.00000000e+00    1.23000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2710     1.31075000e-07    1.20000000e+00    0.00000000e+00    1.29000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2711     1.31125000e-07    1.20000000e+00    0.00000000e+00    1.35000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2712     1.31175000e-07    1.20000000e+00    0.00000000e+00    1.41000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2713     1.31225000e-07    1.20000000e+00    0.00000000e+00    1.47000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
