Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
110      5.82032204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.93695895e-09    4.67324286e-01
111      5.83008766e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.94020888e-09    4.68082583e-01
112      5.83985329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.94345880e-09    4.68840442e-01
113      5.84961891e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.94670873e-09    4.69597859e-01
114      5.85938454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.94995865e-09    4.70354833e-01
115      5.86915016e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.95320858e-09    4.71111360e-01
116      5.87891579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.95645851e-09    4.71867437e-01
117      5.88868141e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.95970843e-09    4.72623063e-01
118      5.89844704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.96295836e-09    4.73378235e-01
119      5.90821266e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.96620828e-09    4.74132949e-01
120      5.91797829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.96945821e-09    4.74887204e-01
121      5.92774391e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.97270813e-09    4.75640996e-01
122      5.93750954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.97595806e-09    4.76394324e-01
123      5.94727516e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.97920799e-09    4.77147184e-01
124      5.95704079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.98245791e-09    4.77899574e-01
125      5.96680641e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.98570784e-09    4.78651492e-01
126      5.97657204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.98895776e-09    4.79402934e-01
127      5.98633766e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.99220769e-09    4.80153898e-01
128      5.99610329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.99545761e-09    4.80904382e-01
129      6.00586891e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.99870754e-09    4.81654384e-01
130      6.01563454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.00195747e-09    4.82403899e-01
131      6.02540016e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.00520739e-09    4.83152927e-01
132      6.03516579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.00845732e-09    4.83901464e-01
133      6.04493141e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.01170724e-09    4.84649507e-01
134      6.05469704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.01495717e-09    4.85397055e-01
135      6.06446266e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.01820710e-09    4.86144105e-01
136      6.07422829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.02145702e-09    4.86890654e-01
137      6.08399391e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.02470695e-09    4.87636700e-01
138      6.09375954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.02795687e-09    4.88382240e-01
139      6.11329079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.03445672e-09    4.89871790e-01
140      6.13282204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.04095658e-09    4.91359287e-01
141      6.15235329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.04745643e-09    4.92844710e-01
142      6.17188454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.05395628e-09    4.94328040e-01
143      6.19141579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.06045613e-09    4.95809256e-01
144      6.21094704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.06695598e-09    4.97288339e-01
145      6.23047829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.07345583e-09    4.98765270e-01
146      6.25000954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.07995569e-09    5.00240028e-01
147      6.26954079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.08645554e-09    5.01712593e-01
148      6.28907204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.09295539e-09    5.03182942e-01
149      6.30860329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.09945524e-09    5.04651048e-01
150      6.32813454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.10595509e-09    5.06116884e-01
151      6.34766579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.11245494e-09    5.07580425e-01
152      6.36719704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.11895480e-09    5.09041643e-01
153      6.38672829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.12545465e-09    5.10500514e-01
154      6.40625954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.13195450e-09    5.11957011e-01
155      6.42579079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.13845435e-09    5.13411110e-01
156      6.44532204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.14495420e-09    5.14862783e-01
157      6.46485329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.15145405e-09    5.16312007e-01
158      6.48438454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.15795390e-09    5.17758757e-01
159      6.50391579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.16445376e-09    5.19203007e-01
160      6.52344704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.17095361e-09    5.20644733e-01
161      6.54297829e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.17745346e-09    5.22083911e-01
162      6.56250954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.18395331e-09    5.23520516e-01
163      6.58204079e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.19045316e-09    5.24954525e-01
164      6.60157204e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.19695301e-09    5.26385914e-01
165      6.62110329e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.20345287e-09    5.27814659e-01
166      6.64063454e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.20995272e-09    5.29240737e-01
167      6.66016579e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.21645257e-09    5.30664126e-01
168      6.67969704e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.22295242e-09    5.32084801e-01
