TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
6.98621249e-09,6.98621249e-09,-2.13503593e-08,-2.56204312e-08,2.56204312e-08
7.03621249e-09,7.03621249e-09,-1.95654370e-08,-2.34785245e-08,2.34785245e-08
7.08621249e-09,7.08621249e-09,-1.81727006e-08,-2.18072407e-08,2.18072407e-08
7.13621249e-09,7.13621249e-09,-1.67443783e-08,-2.00932539e-08,2.00932539e-08
7.18621249e-09,7.18621249e-09,-1.56568988e-08,-1.87882786e-08,1.87882786e-08
7.23621249e-09,7.23621249e-09,-1.44912325e-08,-1.73894790e-08,1.73894790e-08
7.28621249e-09,7.28621249e-09,-1.36310915e-08,-1.63573098e-08,1.63573098e-08
7.33621249e-09,7.33621249e-09,-1.26631396e-08,-1.51957675e-08,1.51957675e-08
7.38621249e-09,7.38621249e-09,-1.19757925e-08,-1.43709510e-08,1.43709510e-08
7.43621249e-09,7.43621249e-09,-1.11595073e-08,-1.33914088e-08,1.33914088e-08
7.48621249e-09,7.48621249e-09,-1.06058422e-08,-1.27270106e-08,1.27270106e-08
7.53621249e-09,7.53621249e-09,-9.90784019e-09,-1.18894082e-08,1.18894082e-08
7.58621249e-09,7.58621249e-09,-9.45921769e-09,-1.13510612e-08,1.13510612e-08
7.63621249e-09,7.63621249e-09,-8.85481957e-09,-1.06257835e-08,1.06257835e-08
7.68621249e-09,7.68621249e-09,-8.48987907e-09,-1.01878549e-08,1.01878549e-08
7.73621249e-09,7.73621249e-09,-7.96052195e-09,-9.55262635e-09,9.55262635e-09
7.78621249e-09,7.78621249e-09,-7.66306917e-09,-9.19568301e-09,9.19568301e-09
7.83621249e-09,7.83621249e-09,-7.19457378e-09,-8.63348854e-09,8.63348854e-09
7.88621249e-09,7.88621249e-09,-6.95215065e-09,-8.34258078e-09,8.34258078e-09
7.93621249e-09,7.93621249e-09,-6.53353528e-09,-7.84024234e-09,7.84024234e-09
7.98621249e-09,7.98621249e-09,-6.33643128e-09,-7.60371753e-09,7.60371753e-09
8.03621249e-09,8.03621249e-09,-5.95908394e-09,-7.15090072e-09,7.15090072e-09
8.08621249e-09,8.08621249e-09,-5.79963972e-09,-6.95956766e-09,6.95956766e-09
8.13621249e-09,8.13621249e-09,-5.45672995e-09,-6.54807595e-09,6.54807595e-09
8.18621249e-09,8.18621249e-09,-5.32883856e-09,-6.39460628e-09,6.39460628e-09
8.23621249e-09,8.23621249e-09,-5.01489282e-09,-6.01787138e-09,6.01787138e-09
8.28621249e-09,8.28621249e-09,-4.91363685e-09,-5.89636421e-09,5.89636421e-09
8.33621249e-09,8.33621249e-09,-4.62422738e-09,-5.54907285e-09,5.54907285e-09
8.38621249e-09,8.38621249e-09,-4.54561138e-09,-5.45473365e-09,5.45473365e-09
8.43621249e-09,8.43621249e-09,-4.27712533e-09,-5.13255039e-09,5.13255039e-09
8.48621249e-09,8.48621249e-09,-4.21787588e-09,-5.06145106e-09,5.06145106e-09
8.53621249e-09,8.53621249e-09,-3.96734171e-09,-4.76081005e-09,4.76081005e-09
8.58621249e-09,8.58621249e-09,-3.92475634e-09,-4.70970760e-09,4.70970760e-09
8.63621249e-09,8.63621249e-09,-3.68971190e-09,-4.42765428e-09,4.42765428e-09
8.68621249e-09,8.68621249e-09,-3.66154359e-09,-4.39385231e-09,4.39385231e-09
8.73621249e-09,8.73621249e-09,-3.43993483e-09,-4.12792180e-09,4.12792180e-09
8.78621249e-09,8.78621249e-09,-3.42430294e-09,-4.10916353e-09,4.10916353e-09
8.83621249e-09,8.83621249e-09,-3.21440535e-09,-3.85728642e-09,3.85728642e-09
8.88621249e-09,8.88621249e-09,-3.20972619e-09,-3.85167142e-09,3.85167142e-09
8.93621249e-09,8.93621249e-09,-3.01008331e-09,-3.61209997e-09,3.61209997e-09
8.98621249e-09,8.98621249e-09,-3.01501558e-09,-3.61801870e-09,3.61801870e-09
9.03621249e-09,9.03621249e-09,-2.82439054e-09,-3.38926865e-09,3.38926865e-09
9.08621249e-09,9.08621249e-09,-2.83779218e-09,-3.40535062e-09,3.40535062e-09
9.13621249e-09,9.13621249e-09,-2.65512912e-09,-3.18615494e-09,3.18615494e-09
9.18621249e-09,9.18621249e-09,-2.67602279e-09,-3.21122734e-09,3.21122734e-09
9.23621249e-09,9.23621249e-09,-2.50041597e-09,-3.00049916e-09,3.00049916e-09
