TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
5.89134497e-08,5.89134497e-08,-1.14172793e-04,-1.37007352e-04,1.37007352e-04
5.89161661e-08,5.89161661e-08,-1.04627081e-04,-1.25552497e-04,1.25552497e-04
5.89188824e-08,5.89188824e-08,-9.22159803e-05,-1.10659176e-04,1.10659176e-04
5.89215988e-08,5.89215988e-08,-7.89748150e-05,-9.47697781e-05,9.47697781e-05
5.89243152e-08,5.89243152e-08,-6.65077106e-05,-7.98092528e-05,7.98092528e-05
5.89270315e-08,5.89270315e-08,-5.57673027e-05,-6.69207633e-05,6.69207633e-05
5.89297479e-08,5.89297479e-08,-4.71158368e-05,-5.65390042e-05,5.65390042e-05
5.89324643e-08,5.89324643e-08,-4.05133122e-05,-4.86159746e-05,4.86159746e-05
5.89351806e-08,5.89351806e-08,-3.57090773e-05,-4.28508927e-05,4.28508927e-05
5.89378970e-08,5.89378970e-08,-3.23888738e-05,-3.88666486e-05,3.88666486e-05
5.89406133e-08,5.89406133e-08,-3.02479607e-05,-3.62975528e-05,3.62975528e-05
5.89433297e-08,5.89433297e-08,-2.90128008e-05,-3.48153609e-05,3.48153609e-05
5.89460461e-08,5.89460461e-08,-2.84576467e-05,-3.41491760e-05,3.41491760e-05
5.89487624e-08,5.89487624e-08,-2.84090149e-05,-3.40908179e-05,3.40908179e-05
5.89514788e-08,5.89514788e-08,-2.87399270e-05,-3.44879124e-05,3.44879124e-05
5.89569115e-08,5.89569115e-08,-3.01906760e-05,-3.62288112e-05,3.62288112e-05
5.89623442e-08,5.89623442e-08,-3.24398358e-05,-3.89278030e-05,3.89278030e-05
5.89677769e-08,5.89677769e-08,-3.53120648e-05,-4.23744777e-05,4.23744777e-05
5.89732097e-08,5.89732097e-08,-3.87950213e-05,-4.65540256e-05,4.65540256e-05
5.89786424e-08,5.89786424e-08,-4.29809284e-05,-5.15771141e-05,5.15771141e-05
5.89840751e-08,5.89840751e-08,-4.79690689e-05,-5.75628827e-05,5.75628827e-05
5.89895078e-08,5.89895078e-08,-5.37894345e-05,-6.45473214e-05,6.45473214e-05
5.89949405e-08,5.89949405e-08,-6.04464301e-05,-7.25357161e-05,7.25357161e-05
5.90003733e-08,5.90003733e-08,-6.79504197e-05,-8.15405037e-05,8.15405037e-05
5.90058060e-08,5.90058060e-08,-7.63149773e-05,-9.15779728e-05,9.15779728e-05
5.90112387e-08,5.90112387e-08,-8.55553381e-05,-1.02666406e-04,1.02666406e-04
5.90166714e-08,5.90166714e-08,-9.56877007e-05,-1.14825241e-04,1.14825241e-04
5.90221042e-08,5.90221042e-08,-1.06728866e-04,-1.28074640e-04,1.28074640e-04
5.90275369e-08,5.90275369e-08,-1.09146189e-04,-1.30975427e-04,1.30975427e-04
5.90287587e-08,5.90287587e-08,-1.05549690e-04,-1.26659627e-04,1.26659627e-04
5.90312022e-08,5.90312022e-08,-9.44967369e-05,-1.13396084e-04,1.13396084e-04
5.90360894e-08,5.90360894e-08,-6.55203113e-05,-7.86243736e-05,7.86243736e-05
5.90409766e-08,5.90409766e-08,-3.90263903e-05,-4.68316684e-05,4.68316684e-05
5.90458637e-08,5.90458637e-08,-2.11575050e-05,-2.53890060e-05,2.53890060e-05
5.90507509e-08,5.90507509e-08,-1.10656808e-05,-1.32788169e-05,1.32788169e-05
5.90556380e-08,5.90556380e-08,-5.95016146e-06,-7.14019375e-06,7.14019375e-06
5.90654124e-08,5.90654124e-08,-2.10841961e-06,-2.53010353e-06,2.53010353e-06
5.90751867e-08,5.90751867e-08,-1.60024154e-06,-1.92028984e-06,1.92028984e-06
5.90947353e-08,5.90947353e-08,-1.32926461e-06,-1.59511753e-06,1.59511753e-06
5.91142840e-08,5.91142840e-08,-1.13196524e-06,-1.35835829e-06,1.35835829e-06
5.91338326e-08,5.91338326e-08,-9.50725526e-07,-1.14087063e-06,1.14087063e-06
5.91533813e-08,5.91533813e-08,-7.98759614e-07,-9.58511537e-07,9.58511537e-07
5.91729299e-08,5.91729299e-08,-6.64959892e-07,-7.97951871e-07,7.97951871e-07
5.92120272e-08,5.92120272e-08,-4.50613889e-07,-5.40736667e-07,5.40736667e-07
5.92511245e-08,5.92511245e-08,-2.95856759e-07,-3.55028111e-07,3.55028111e-07
